pays,annee,PIB
Argentina,1970,31584210365.54465
Argentina,1971,33293199095.488117
Argentina,1972,34733000536.28621
Argentina,1973,52544000116.90373
Argentina,1974,72436777342.45541
Argentina,1975,52438647921.9226
Argentina,1976,51169499890.77222
Argentina,1977,56781000100.944824
Argentina,1978,58082870156.26343
Argentina,1979,69252328953.37886
Argentina,1980,76961923741.94785
Argentina,1981,78676842366.42133
Argentina,1982,84307486836.72403
Argentina,1983,103979106777.91103
Argentina,1984,79092001998.03204
Argentina,1985,88416668900.25958
Argentina,1986,110934442762.69356
Argentina,1987,111106191358.19745
Argentina,1988,126206817196.09116
Argentina,1989,76636898036.47119
Argentina,1990,141352368714.6913
Argentina,1991,189719984268.48453
Argentina,1992,228788617201.69592
Argentina,1993,236741715015.015
Argentina,1994,257440000000.0
Argentina,1995,258031750000.0
Argentina,1996,272149750000.0
Argentina,1997,292859000000.0
Argentina,1998,298948250000.0
Argentina,1999,283523000000.0
Argentina,2000,284203750000.0
Argentina,2001,268696750000.0
Argentina,2002,97724004251.8602
Argentina,2003,127586973492.17664
Argentina,2004,164657930452.78662
Argentina,2005,198737095012.28165
Argentina,2006,232557260817.3077
Argentina,2007,287530508430.568
Argentina,2008,361558037110.41925
Australia,1970,41304737372.60612
Australia,1971,45183111210.66189
Australia,1972,52003504672.897194
Australia,1973,63782190903.267136
Australia,1974,88906411201.17908
Australia,1975,97226546497.33716
Australia,1976,104974158578.09152
Australia,1977,110266116081.6701
Australia,1978,118400631626.43806
Australia,1979,134793820288.53801
Australia,1980,149887465181.0585
Australia,1981,176804829908.2782
Australia,1982,193954540439.1482
Australia,1983,177176415535.79785
Australia,1984,193503894222.06122
Australia,1985,180470967247.06604
Australia,1986,182281757134.8629
Australia,1987,189375992588.67123
Australia,1988,236135768335.27356
Australia,1989,299941372852.3736
Australia,1990,311425933051.1735
Australia,1991,326068597441.3311
Australia,1992,325692532492.5017
Australia,1993,312372821810.0056
Australia,1994,323216879972.32794
Australia,1995,368391743391.7434
Australia,1996,401819423368.7405
Australia,1997,436097980904.67993
Australia,1998,399778878111.64624
Australia,1999,389146509587.6676
Australia,2000,415446209885.0719
Australia,2001,378899860470.1084
Australia,2002,394635830891.5864
Australia,2003,466853232382.0617
Australia,2004,613329776639.6359
Australia,2005,693764095624.718
Australia,2006,747572626534.8907
Australia,2007,853764622752.6105
Australia,2008,1055334825425.2462
Austria,1970,15373005768.721884
Austria,1971,17858485956.60315
Austria,1972,22059612417.4058
Austria,1973,29515467987.91201
Austria,1974,35189299985.276794
Austria,1975,40059206763.056015
Austria,1976,42959976068.11383
Austria,1977,51545759220.71434
Austria,1978,62052258694.21018
Austria,1979,73937296654.65775
Austria,1980,82058912465.43288
Austria,1981,71034228097.45982
Austria,1982,71275287327.57925
Austria,1983,72121016623.25725
Austria,1984,67985345161.95585
Austria,1985,69386774474.5943
Austria,1986,99036165209.55386
Austria,1987,124168442860.2525
Austria,1988,133339397080.12927
Austria,1989,133105805928.23712
Austria,1990,166463386663.43942
Austria,1991,173794177725.39777
Austria,1992,195078126346.10568
Austria,1993,190379720927.48135
Austria,1994,203535242741.83835
Austria,1995,241038283062.64502
Austria,1996,237250948791.26593
Austria,1997,212790348404.55518
Austria,1998,218259904401.95642
Austria,1999,217185787342.85104
Austria,2000,196799778883.361
Austria,2001,197337879194.6309
Austria,2002,213377771503.85846
Austria,2003,261695778781.03836
Austria,2004,300904221504.8423
Austria,2005,315974418604.6511
Austria,2006,335998557270.1041
Austria,2007,388691445387.35284
Austria,2008,430294287388.31116
Azerbaijan,1970,
Azerbaijan,1971,
Azerbaijan,1972,
Azerbaijan,1973,
Azerbaijan,1974,
Azerbaijan,1975,
Azerbaijan,1976,
Azerbaijan,1977,
Azerbaijan,1978,
Azerbaijan,1979,
Azerbaijan,1980,
Azerbaijan,1981,
Azerbaijan,1982,
Azerbaijan,1983,
Azerbaijan,1984,
Azerbaijan,1985,
Azerbaijan,1986,
Azerbaijan,1987,
Azerbaijan,1988,
Azerbaijan,1989,
Azerbaijan,1990,8858006035.915659
Azerbaijan,1991,8792365810.509403
Azerbaijan,1992,4991350457.542502
Azerbaijan,1993,3973027396.651947
Azerbaijan,1994,3313739673.547376
Azerbaijan,1995,3052467522.3610435
Azerbaijan,1996,3176749593.11788
Azerbaijan,1997,3962710163.1116686
Azerbaijan,1998,4446396217.632653
Azerbaijan,1999,4581222442.457831
Azerbaijan,2000,5272617196.045174
Azerbaijan,2001,5707720390.851498
Azerbaijan,2002,6235795103.888089
Azerbaijan,2003,7276013031.969049
Azerbaijan,2004,8680472168.515314
Azerbaijan,2005,13245716099.005713
Azerbaijan,2006,20983019923.886276
Azerbaijan,2007,33050343782.7759
Azerbaijan,2008,48852482960.077896
Bahrain,1970,
Bahrain,1971,
Bahrain,1972,
Bahrain,1973,
Bahrain,1974,
Bahrain,1975,
Bahrain,1976,
Bahrain,1977,
Bahrain,1978,
Bahrain,1979,
Bahrain,1980,3072698328.46909
Bahrain,1981,3467819148.936171
Bahrain,1982,3645744680.8510637
Bahrain,1983,3735106382.9787235
Bahrain,1984,3905585106.382978
Bahrain,1985,3651861702.12766
Bahrain,1986,3052393617.0212765
Bahrain,1987,3392021010.638298
Bahrain,1988,3702393617.021276
Bahrain,1989,3863563829.787234
Bahrain,1990,4229787234.042554
Bahrain,1991,4616223404.25532
Bahrain,1992,4751063829.787234
Bahrain,1993,5200265957.446809
Bahrain,1994,5567553457.446808
Bahrain,1995,5849467819.148936
Bahrain,1996,6101861436.170213
Bahrain,1997,6349202393.617022
Bahrain,1998,6183776595.74468
Bahrain,1999,6621010372.3404255
Bahrain,2000,9062906914.893616
Bahrain,2001,8976207712.765957
Bahrain,2002,9632155053.19149
Bahrain,2003,11074822074.468084
Bahrain,2004,13150166755.319149
Bahrain,2005,15968726861.702127
Bahrain,2006,18505053191.48936
Bahrain,2007,21729999999.999996
Bahrain,2008,25710877659.574467
Belarus,1970,
Belarus,1971,
Belarus,1972,
Belarus,1973,
Belarus,1974,
Belarus,1975,
Belarus,1976,
Belarus,1977,
Belarus,1978,
Belarus,1979,
Belarus,1980,
Belarus,1981,
Belarus,1982,
Belarus,1983,
Belarus,1984,
Belarus,1985,
Belarus,1986,
Belarus,1987,
Belarus,1988,
Belarus,1989,
Belarus,1990,21650000000.0
Belarus,1991,17420000000.0
Belarus,1992,17120370370.370369
Belarus,1993,16286280991.735538
Belarus,1994,14932192010.74186
Belarus,1995,13972630803.581703
Belarus,1996,14756861538.461538
Belarus,1997,14128412417.193037
Belarus,1998,15222014828.30385
Belarus,1999,12138485328.626728
Belarus,2000,12736856827.984661
Belarus,2001,12354820143.884892
Belarus,2002,14594925392.969078
Belarus,2003,17825436034.536636
Belarus,2004,23141587717.763344
Belarus,2005,30210091836.82945
Belarus,2006,36961821893.69756
Belarus,2007,45275747860.644226
Belarus,2008,60763483146.06741
Belgium,1970,26849148285.59903
Belgium,1971,29981290025.491325
Belgium,1972,37408591329.85061
Belgium,1973,47999363071.82778
Belgium,1974,56333010459.817726
Belgium,1975,66029748930.56927
Belgium,1976,71494539498.4326
Belgium,1977,83283328418.68318
Belgium,1978,101788475086.46088
Belgium,1979,116938066868.46451
Belgium,1980,127508202372.74107
Belgium,1981,105290614080.83443
Belgium,1982,92588895020.30725
Belgium,1983,87650915976.33136
Belgium,1984,83795680815.41469
Belgium,1985,86730038793.39629
Belgium,1986,120661220335.92198
Belgium,1987,150194077687.73636
Belgium,1988,163167853538.12396
Belgium,1989,165100094594.5946
Belgium,1990,206430841501.69
Belgium,1991,211637816538.68872
Belgium,1992,236038384441.6562
Belgium,1993,225924679920.70895
Belgium,1994,246194938750.90427
Belgium,1995,289567323481.1166
Belgium,1996,281358175895.7655
Belgium,1997,254813599458.728
Belgium,1998,260601911535.89685
Belgium,1999,260202429149.79758
Belgium,2000,237904919845.21838
Belgium,2001,237841968680.0895
Belgium,2002,258860436664.7845
Belgium,2003,319002821670.4289
Belgium,2004,370885026074.0005
Belgium,2005,387365750528.5412
Belgium,2006,409813197842.17786
Belgium,2007,471821105940.323
Belgium,2008,518625897172.9896
Bosnia and Herzegovina,1970,
Bosnia and Herzegovina,1971,
Bosnia and Herzegovina,1972,
Bosnia and Herzegovina,1973,
Bosnia and Herzegovina,1974,
Bosnia and Herzegovina,1975,
Bosnia and Herzegovina,1976,
Bosnia and Herzegovina,1977,
Bosnia and Herzegovina,1978,
Bosnia and Herzegovina,1979,
Bosnia and Herzegovina,1980,
Bosnia and Herzegovina,1981,
Bosnia and Herzegovina,1982,
Bosnia and Herzegovina,1983,
Bosnia and Herzegovina,1984,
Bosnia and Herzegovina,1985,
Bosnia and Herzegovina,1986,
Bosnia and Herzegovina,1987,
Bosnia and Herzegovina,1988,
Bosnia and Herzegovina,1989,
Bosnia and Herzegovina,1990,
Bosnia and Herzegovina,1991,
Bosnia and Herzegovina,1992,
Bosnia and Herzegovina,1993,
Bosnia and Herzegovina,1994,1255802469.1358023
Bosnia and Herzegovina,1995,1866572953.736655
Bosnia and Herzegovina,1996,2786045321.637427
Bosnia and Herzegovina,1997,3671816504.238509
Bosnia and Herzegovina,1998,4116699437.404103
Bosnia and Herzegovina,1999,4685729738.562091
Bosnia and Herzegovina,2000,5505984455.958549
Bosnia and Herzegovina,2001,5748990666.178624
Bosnia and Herzegovina,2002,6651226179.018288
Bosnia and Herzegovina,2003,8370020196.191576
Bosnia and Herzegovina,2004,10022840634.920637
Bosnia and Herzegovina,2005,11225138297.195908
Bosnia and Herzegovina,2006,12866524918.222054
Bosnia and Herzegovina,2007,15776422673.19804
Bosnia and Herzegovina,2008,19112739664.469746
Brazil,1970,42327600098.24124
Brazil,1971,49204456700.45162
Brazil,1972,58539008786.36837
Brazil,1973,79279057730.829
Brazil,1974,105136007528.75961
Brazil,1975,123709376567.89029
Brazil,1976,152678020452.8288
Brazil,1977,176171284311.76117
Brazil,1978,200800891870.16382
Brazil,1979,224969488835.18094
Brazil,1980,235024598983.26135
Brazil,1981,263561088977.12936
Brazil,1982,281682304161.0405
Brazil,1983,203304515490.79538
Brazil,1984,209023912696.8388
Brazil,1985,222942790435.29932
Brazil,1986,268137224729.72214
Brazil,1987,294084112392.66034
Brazil,1988,330397381998.4894
Brazil,1989,425595310000.0
Brazil,1990,461951782000.0
Brazil,1991,602860000000.0
Brazil,1992,400599250000.0
Brazil,1993,437798577639.7516
Brazil,1994,558111997497.2627
Brazil,1995,785643456467.2551
Brazil,1996,850425828275.7933
Brazil,1997,883199443413.7291
Brazil,1998,863723395088.324
Brazil,1999,599388879704.6344
Brazil,2000,655421153320.5795
Brazil,2001,559372502338.2366
Brazil,2002,507962741819.9188
Brazil,2003,558320116997.0751
Brazil,2004,669316239316.2394
Brazil,2005,891629970423.9237
Brazil,2006,1107640325472.3486
Brazil,2007,1397084381901.289
Brazil,2008,1695824517395.572
Bulgaria,1970,
Bulgaria,1971,
Bulgaria,1972,
Bulgaria,1973,
Bulgaria,1974,
Bulgaria,1975,
Bulgaria,1976,
Bulgaria,1977,
Bulgaria,1978,
Bulgaria,1979,
Bulgaria,1980,19839230769.23077
Bulgaria,1981,19870000000.000004
Bulgaria,1982,19342000000.000004
Bulgaria,1983,16563666666.666664
Bulgaria,1984,17594944444.444447
Bulgaria,1985,17155421052.631578
Bulgaria,1986,20249294117.64706
Bulgaria,1987,28101000000.0
Bulgaria,1988,22555941176.47059
Bulgaria,1989,21988444444.444447
Bulgaria,1990,20632090909.090908
Bulgaria,1991,10943548387.096771
Bulgaria,1992,10350515463.917526
Bulgaria,1993,10829710144.927534
Bulgaria,1994,9697416974.169743
Bulgaria,1995,13063422619.047619
Bulgaria,1996,10109404159.640247
Bulgaria,1997,11195630536.8928
Bulgaria,1998,14630974778.459442
Bulgaria,1999,13495062850.302011
Bulgaria,2000,13148099185.23054
Bulgaria,2001,14135393875.589327
Bulgaria,2002,16360346653.827639
Bulgaria,2003,21074775206.32539
Bulgaria,2004,26094622563.646755
Bulgaria,2005,29821662537.322914
Bulgaria,2006,34304448149.810814
Bulgaria,2007,44765733379.98601
Bulgaria,2008,54409138498.354774
Canada,1970,87896095224.4234
Canada,1971,99271961477.5203
Canada,1972,113082820992.0194
Canada,1973,131321859214.0786
Canada,1974,160408697648.26175
Canada,1975,173834029787.65237
Canada,1976,206575564401.6227
Canada,1977,211612156934.64975
Canada,1978,218632867449.81152
Canada,1979,243072102185.41916
Canada,1980,273853826377.00992
Canada,1981,306214863624.98956
Canada,1982,313506525087.1362
Canada,1983,340547711781.88904
Canada,1984,355372558103.62134
Canada,1985,364756499450.7507
Canada,1986,377437927311.9827
Canada,1987,431316742081.44794
Canada,1988,507354351182.254
Canada,1989,565055743243.2433
Canada,1990,593929550908.4675
Canada,1991,610328183643.1876
Canada,1992,592387689252.9163
Canada,1993,577170761956.4375
Canada,1994,578139279437.6099
Canada,1995,604031623433.4014
Canada,1996,628546387972.1306
Canada,1997,652825364726.2747
Canada,1998,631813279406.8082
Canada,1999,676082654640.91
Canada,2000,742293448252.6428
Canada,2001,736379777892.562
Canada,2002,757950678646.5304
Canada,2003,892380986367.8539
Canada,2004,1023196003074.5581
Canada,2005,1169357979864.664
Canada,2006,1315415197461.213
Canada,2007,1464977190205.7537
Canada,2008,1549131208997.1885
Chile,1970,9126309734.513275
Chile,1971,10884114754.09836
Chile,1972,11853817307.692308
Chile,1973,16836261173.184359
Chile,1974,16210404183.535763
Chile,1975,7622217352.342158
Chile,1976,10341925249.042145
Chile,1977,13962893421.541319
Chile,1978,15989933708.149084
Chile,1979,21803696985.234898
Chile,1980,29036709871.794872
Chile,1981,34509878043.589745
Chile,1982,25325893205.657043
Chile,1983,20355959237.21284
Chile,1984,19622527479.691307
Chile,1985,17702885393.509884
Chile,1986,18891048818.74255
Chile,1987,22255407684.69988
Chile,1988,26040229793.06967
Chile,1989,29885685142.91066
Chile,1990,33113887817.97311
Chile,1991,37834793730.31326
Chile,1992,45964327558.88356
Chile,1993,49297773130.118515
Chile,1994,57008425295.8256
Chile,1995,73447063319.30338
Chile,1996,78039572221.60236
Chile,1997,84952360922.46786
Chile,1998,81577430181.40736
Chile,1999,75173794497.03212
Chile,2000,77860932151.8471
Chile,2001,70979923960.3742
Chile,2002,69736811435.1032
Chile,2003,75643459839.60081
Chile,2004,99210392857.6116
Chile,2005,122964812046.0727
Chile,2006,154788024805.80832
Chile,2007,173605968179.25516
Chile,2008,179638496278.5739
Colombia,1970,7198360460.198872
Colombia,1971,7820380970.53674
Colombia,1972,8671358732.684856
Colombia,1973,10315760000.339388
Colombia,1974,12370029583.641897
Colombia,1975,13098633901.867271
Colombia,1976,15341403660.46981
Colombia,1977,19470960619.129715
Colombia,1978,23263511958.050903
Colombia,1979,27940411250.27322
Colombia,1980,33400735644.048115
Colombia,1981,36388366869.03093
Colombia,1982,38968039721.74803
Colombia,1983,38729822781.599724
Colombia,1984,38253120737.967125
Colombia,1985,34894411351.98301
Colombia,1986,34942489683.97124
Colombia,1987,36373307085.088745
Colombia,1988,39212550050.42228
Colombia,1989,39540080200.39381
Colombia,1990,40274204595.22956
Colombia,1991,41239551378.24817
Colombia,1992,49279585355.09484
Colombia,1993,55802538219.02636
Colombia,1994,81703500846.03638
Colombia,1995,92507279383.03873
Colombia,1996,97160109277.80867
Colombia,1997,106659508271.25496
Colombia,1998,98443739941.1664
Colombia,1999,86186158684.7685
Colombia,2000,99886577330.72711
Colombia,2001,98203546156.31023
Colombia,2002,97933391976.08304
Colombia,2003,94684584162.77298
Colombia,2004,117074863821.85016
Colombia,2005,146566266310.56827
Colombia,2006,162590145579.95764
Colombia,2007,207416490982.9899
Colombia,2008,243982436734.23343
Costa Rica,1970,984830158.490566
Costa Rica,1971,1077152902.2910442
Costa Rica,1972,1238251695.553881
Costa Rica,1973,1528916185.2319918
Costa Rica,1974,1666544754.0983608
Costa Rica,1975,1960863465.5775962
Costa Rica,1976,2412555425.9043174
Costa Rica,1977,3072427012.835472
Costa Rica,1978,3523208809.8016334
Costa Rica,1979,4035519323.2205367
Costa Rica,1980,4831447001.166861
Costa Rica,1981,2623807074.2947984
Costa Rica,1982,2606621255.0158124
Costa Rica,1983,3976453966.739831
Costa Rica,1984,4593908718.761719
Costa Rica,1985,4796628461.386139
Costa Rica,1986,5477895474.910395
Costa Rica,1987,5841132961.605864
Costa Rica,1988,6063759370.62937
Costa Rica,1989,6866402028.109974
Costa Rica,1990,7403457319.204719
Costa Rica,1991,7168999428.244711
Costa Rica,1992,8528593084.487492
Costa Rica,1993,9537297507.16915
Costa Rica,1994,10432619390.360912
Costa Rica,1995,11513472693.870735
Costa Rica,1996,11618286553.367676
Costa Rica,1997,12552071367.153913
Costa Rica,1998,13617405420.117422
Costa Rica,1999,14195623424.810978
Costa Rica,2000,14949514585.158506
Costa Rica,2001,15913363335.056404
Costa Rica,2002,16504795453.282196
Costa Rica,2003,17195867540.352974
Costa Rica,2004,18529767934.47433
Costa Rica,2005,19952156474.845364
Costa Rica,2006,22600431878.002388
Costa Rica,2007,26743874286.851353
Costa Rica,2008,30612932802.899082
Croatia,1970,
Croatia,1971,
Croatia,1972,
Croatia,1973,
Croatia,1974,
Croatia,1975,
Croatia,1976,
Croatia,1977,
Croatia,1978,
Croatia,1979,
Croatia,1980,
Croatia,1981,
Croatia,1982,
Croatia,1983,
Croatia,1984,
Croatia,1985,
Croatia,1986,
Croatia,1987,
Croatia,1988,
Croatia,1989,
Croatia,1990,
Croatia,1991,
Croatia,1992,
Croatia,1993,
Croatia,1994,
Croatia,1995,22387561845.224438
Croatia,1996,23678012697.36116
Croatia,1997,23822087053.209103
Croatia,1998,25432144406.20433
Croatia,1999,23386945596.69277
Croatia,2000,21774273832.103123
Croatia,2001,23289671102.319725
Croatia,2002,26878499206.01649
Croatia,2003,34658113497.390015
Croatia,2004,41574530815.5047
Croatia,2005,45416358501.98346
Croatia,2006,50453577898.48864
Croatia,2007,60093155532.767784
Croatia,2008,70481451814.3118
Cuba,1970,5693005200.0
Cuba,1971,6914658400.0
Cuba,1972,8135150891.920252
Cuba,1973,9987709650.18094
Cuba,1974,11405957317.073172
Cuba,1975,13027415243.90244
Cuba,1976,13789579902.557858
Cuba,1977,14206158674.698795
Cuba,1978,17844705324.675323
Cuba,1979,19584443287.671234
Cuba,1980,19912889861.11111
Cuba,1981,20150254096.385544
Cuba,1982,20953510235.294117
Cuba,1983,22204940512.223515
Cuba,1984,24039383608.42345
Cuba,1985,22920490774.101974
Cuba,1986,24226574634.029278
Cuba,1987,25213935012.0819
Cuba,1988,27458999472.295513
Cuba,1989,27023468665.89773
Cuba,1990,28645436569.148937
Cuba,1991,24316556025.658524
Cuba,1992,22085858243.243244
Cuba,1993,22367254864.864864
Cuba,1994,28448326756.756756
Cuba,1995,30429803651.2192
Cuba,1996,25017300000.0
Cuba,1997,25366200000.0
Cuba,1998,25736331247.1786
Cuba,1999,28364615241.6894
Cuba,2000,30565400000.0
Cuba,2001,31682400000.0
Cuba,2002,33590500000.0
Cuba,2003,35901200000.0
Cuba,2004,38203000000.0
Cuba,2005,42643836074.8
Cuba,2006,52742800000.0
Cuba,2007,58603900000.0
Cuba,2008,60806300000.0
Cyprus,1970,
Cyprus,1971,
Cyprus,1972,
Cyprus,1973,
Cyprus,1974,
Cyprus,1975,489914760.6828071
Cyprus,1976,576090073.7150359
Cyprus,1977,734887973.9758058
Cyprus,1978,964026512.197839
Cyprus,1979,1288715209.5808382
Cyprus,1980,2154311276.9485903
Cyprus,1981,2087496373.7796376
Cyprus,1982,2159242416.76942
Cyprus,1983,2160364071.1902113
Cyprus,1984,2278248953.1405787
Cyprus,1985,2430411900.1919384
Cyprus,1986,3090734463.276837
Cyprus,1987,3704813885.5054812
Cyprus,1988,4278792597.2396483
Cyprus,1989,4563482603.550296
Cyprus,1990,5591130217.669654
Cyprus,1991,5770197348.484848
Cyprus,1992,6912150456.323337
Cyprus,1993,6590291048.292109
Cyprus,1994,7425703928.571429
Cyprus,1995,9826778783.958603
Cyprus,1996,9899623588.456713
Cyprus,1997,9594298745.72406
Cyprus,1998,10353506787.330317
Cyprus,1999,10614455231.93096
Cyprus,2000,10183317624.882187
Cyprus,2001,10567304189.435337
Cyprus,2002,11618269230.76923
Cyprus,2003,14576896942.242355
Cyprus,2004,17422375000.0
